business_id,name,stars,review_count,categories
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,4.0,80,"Juice Bars & Smoothies,American (New),Sandwiches"
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,4.5,13,"Indian,Halal"
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4.0,245,"Nightlife,Seafood,Bars"
ROeacJQwBeh05Rqg7F6TCg,BAP,4.5,205,Coffee & Tea
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,5.0,15,Thai
8sshLb4UU7emeUDvtJWnpA,DanceLine,4.5,11,Italian
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,3.5,109,"Seafood,Italian"
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,3.5,65,"Sandwiches,Coffee & Tea"
Kq51_lGAgAigqmENITTr-A,Bala Better Health,4.0,13,"Salad,Sandwiches"
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,5.0,12,"Nightlife,Bars,American (New)"
xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,3.0,37,"Nightlife,Bars,Burgers"
DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,2.5,8,"Soup,Salad,Thai"
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,4.5,25,"Chicken Wings,Nightlife,Bars"
ppFCk9aQkM338Rgwpl2F5A,Wawa,3.0,56,"Nightlife,Bars,American (New)"
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,4.5,58,Bakeries
ZM46RDLXaFNo_z6t-j_L4w,Absolutely Perfect Inc,3.5,5,Seafood
8KMIT0NXu30Jz5Ojo5uxaw,Cornerstone Physical Therapy Associates,5.0,6,"Pizza,Italian"
2n9HHBxG7yAyAUwXXa49aw,Mighty Dustless,4.0,5,"Vegetarian,Vegan,Burgers"
kK2i5Xyd9SOpF5pCFilbcg,Swat Pest Control,4.5,7,Sandwiches
I6DCYks9lqZeoZiVzW7PmA,Its Sold Here,1.5,10,"Bars,Nightlife,Seafood"
xfmkEGiIERBaBMLhw-dTCg,Walmart Vision & Glasses,4.5,6,"Indian,Halal"
kk_oEw1j3xQ-cJaAII8A0Q,Giant Food Store,3.0,29,Bakeries
iPSPcprSnkLOuL1Ns8UZZA,Pete's Barber Shop,4.5,12,Mexican
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,3.0,137,"Diners,American (Traditional)"
qdYfHRsZdcz4Bun4f9Ijaw,Norristown Car Wash,2.0,8,"Vegetarian,Seafood,Indian"
GWGXTKR0Fhdvzf_isDqJug,"David Gower, Jr.  - Coldwell Banker Preferred",5.0,17,"Pizza,Salad,Sandwiches"
-aeZuatjCDMV1X4gCTz9Ug,David Thomas Trailways,4.5,6,"Nightlife,Bars,Sandwiches"
h-y5azB-VlQAT3m7Ff2g2Q,P's & Q's - Premium Quality,5.0,16,"Nightlife,Bars,Burgers"
FC6ef4rMMZKNov_-A9M6iQ,TD Bank Havertown,1.5,6,"Vegetarian,Vegan"
5BYQP7i7ckUlgSzX4Yhnmw,A-1 Expert Cleaning Services,5.0,5,"Salad,Sandwiches"
07JLsUInZr5OSiYH2XVi4g,Elegance African Hair Braiding,2.0,8,"Nightlife,Bars,American (New)"
1GnJDrpp-jyDRCptavD9RQ,Rita's Italian Ice,4.0,7,Bakeries
FTFtoylMzkrzqNVSl-bkKw,Giant Food Stores,4.0,19,Pizza
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,2.5,25,"Tapas/Small Plates,Nightlife,Bars"
AzwiKZjVqHOxLaYtPAx8lA,Target,2.5,37,"Pizza,Salad"
tVdJ7CgBGAQ_nLomYXbB-Q,Cunningham Pest Control,5.0,5,"Asian Fusion,Chinese,Thai"
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,1.5,15,"Sandwiches,Nightlife,American (New)"
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,1.5,27,Italian
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,3.5,60,Pizza
2dlQX5sP9X6Dlm1MmNOlSw,ReAnimator Coffee,4.0,105,Pizza
UoKkgWmE9-c3wbWwO4VAVQ,Beaver Hill Condominium,3.0,5,"Nightlife,Bars,Burgers"
mq5Z9X7yxgyApILQ11niNw,Wendy Warner- Medicine In Balance,3.0,7,"Nightlife,American (Traditional),Bars"
ONUZertKOOImiyQG66Z7Tg,Zakian Rug Cleaning,3.5,26,"Mediterranean,Greek"
QU-X2Pijwd4SitfYXoZWMQ,Mason's Tree Service,3.0,9,Mexican
do6EpBc7ZUoaqdzuUuGFXA,Jim's Auto Detailing,4.5,8,"Fast Food,Sandwiches,Italian"
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,4.5,183,"Nightlife,Bars,Barbeque"
D9Xez9uOSM4DgSjSTywq7w,King of Jewelers,4.0,5,"Chinese,Szechuan"
MyE_zdul_JO-dOHOug4GQQ,Watson Adventures Scavenger Hunts,3.0,8,Mexican
8ThWgxiTB83nrIGbZQnNBg,Creature Comforts Pet Sitting,5.0,10,"Chinese,Szechuan"
jL_NufxqXi-BpW5uXKsPwQ,CVS Pharmacy,3.0,11,"Desserts,Bakeries"
I3ZLcrGzj-QN5vFgaJFrAg,Golf Galaxy,3.0,25,Korean
Tm3QiAVLJAR2fEJK7APPPQ,City Fitness - Northern Liberties,3.0,131,American (New)
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,4.5,12,"Sushi Bars,Japanese"
s-A1_pxGRYL2x4gONVzvFA,Easy Rider Repair,5.0,13,"Vegetarian,Vegan,Burgers"
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,4.5,66,Chinese
6bFx8j2KqPfmT0XEUS1RMg,Center City Emergency Dentist,3.5,120,"Sushi Bars,Salad,Sandwiches"
G2Byuh4EVeSnqqWBWtD7rg,Wissahickon Cyclery,4.5,18,Burgers
vSE6lkp5FBcttPxEbQ9XCw,Kim Kelly & Co Clinical Skin Care,5.0,7,"American (Traditional),Southern"
usv5G5cO314pPHRTGq2Eyw,Best Tours,1.0,38,"Korean,American (Traditional),Sandwiches"
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,4.5,29,"Salad,American (Traditional),Nightlife"
6I_DA3uqOox50rBvjrQ_-g,Aloft Philadelphia Airport,3.0,175,"Sandwiches,Nightlife,American (New)"
zn-WXkqHag5FSVc_LC9dEQ,Renee Hair Salon,4.0,5,American (Traditional)
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,4.5,11,"Nightlife,Bars,Burgers"
IAj1Lw3FAOY-yZn4IO7ElQ,Baum's Dancewear,3.0,17,Italian
cEqDvn5VuX8nQ_vqs6_xog,Alex Smith Hardwood Flooring,4.0,5,"Food Trucks,Burgers"
I0gSLthWBsiUPzBft_CZ9Q,Marino's Auto Repair,4.5,15,"Food Trucks,Food Stands,Middle Eastern"
NBgbL_KQTRRLQPQQtmUkYQ,Mr Wizard Worcester Car Wash,4.0,7,"Mexican,Barbeque,Tex-Mex"
xvFV3ENVa_9POy_grBs03Q,Warminster Veterinary Hospital,4.0,12,Coffee & Tea
x9xBKymj6CJ2WuCCFInb7g,Fine Wine & Good Spirits,3.5,8,"Nightlife,American (Traditional),Bars"
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,3.0,208,"Pizza,American (Traditional),Italian"
dP_1jbKl47-9Ty83RyeJDA,Washington Memorial Chapel,4.5,5,"Mexican,Barbeque,Tex-Mex"
yooufdsf3eAVq_9RQNSDJA,Mazzoni Center,3.0,46,"Sushi Bars,Japanese"
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,1.5,17,Coffee & Tea
RI8tdJy90bfApk836eF-ag,Solid Wood Cabinets,2.5,8,"Indian,Halal"
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,2.5,16,Diners
j-PaHu9iyJBlzKJZYN2smA,Snacks By The Pound,3.5,8,Diners
dChRGpit9fM_kZK5pafNyA,The Love,4.0,618,"Steakhouses,Seafood,American (New)"
nIn0fMn-SEjLdJ44SG4CKw,A Personal Touch Cleaning Service,4.5,7,"Nightlife,Bars,Mexican"
od6skmfXz9twktEAuJHEmw,Ryan Christopher,4.0,120,"Tacos,Mexican"
